=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.29 19:25:16 =~=~=~=~=~=~=~=~=~=~=~=
---------------
System Time (ms),axWorld (int16),ayWorld (int16),azWorld (int16),axyStdDevL,axyStdDevR
67505,108,-55,136
67525,20,-64,232
67545,-12,-129,290
67565,-2,-208,226
67585,-20,-291,136
67605,-43,-350,173
67625,4,-364,256
67645,127,-332,247
67665,204,-271,160
67685,214,-234,80
67705,226,-209,23
67725,264,-178,-43
67745,290,-131,-107
67765,273,-79,-140,116,187
67785,199,-56,-141
67805,144,-68,-155
67825,133,-93,-235
67845,75,-123,-302
67865,35,-125,-250
67885,56,-116,-142
67905,70,-129,-82
67925,64,-144,-53
67945,113,-136,13
67965,172,-129,79
67985,170,-148,120
68005,197,-159,113
68025,198,-130,116
68045,166,-81,180
68065,141,17,234,103,200
68085,109,117,220
68105,62,169,139
68125,12,173,17
68145,-44,170,-61
68165,-114,170,-112
68185,-170,160,-151
68205,-182,148,-163
68225,-180,141,-133
68245,-193,154,-94
68265,-189,174,-107
68285,-192,176,-153
68305,-227,150,-189
68325,-229,117,-186
68345,-198,98,-194
68365,-186,85,-240,86,222
68385,-228,55,-310
68405,-272,55,-383
68425,-310,82,-483
68445,-319,70,-587
68465,-281,30,-711
68485,-234,-20,-848
68505,-192,-26,-1061
68525,-233,26,-1361
68545,-321,98,-1683
68565,-397,168,-2016
68585,-310,228,-2389
68605,-8,386,-3125
68625,250,566,-4371
68645,164,376,-6034
68665,50,227,-7144,92,260
68685,0,267,-7623
68705,-30,287,-7819
68725,-59,296,-7865
68745,-72,297,-7826
68765,-63,278,-7766
68785,-66,266,-7707
68805,-47,254,-7610
68825,-19,242,-7524
68845,10,228,-7426
68865,44,229,-7335
68885,14,285,-7140
68905,86,433,-6937
68925,97,437,-6990
68944,117,276,-6436
68965,134,458,-5898,133,270
68984,-2166,610,-1221
69004,-6389,2678,3109
69024,2924,761,922
69044,2157,1032,-5818
69064,1283,823,-6963
69084,771,678,-7384
69104,468,561,-7542
69124,480,641,-6421
69144,1654,481,-3802
69164,1475,-1346,-409
69184,-787,-1414,3486
69204,-630,245,2929
69224,163,821,156
69244,495,92,-893
69264,23,-696,-510,187,1077
69284,-157,-431,386
69304,101,37,469
69324,128,-81,14
69344,12,-267,-68
69364,22,-216,117
69384,64,-123,141
69404,33,-157,32
69424,31,-196,53
69444,41,-159,99
69464,48,-148,64
69484,39,-168,64
69504,30,-157,81
69524,41,-145,78
69544,46,-154,63
69564,41,-152,66,200,1080
69584,42,-149,80
69604,42,-145,73
69624,41,-141,80
69644,41,-139,79
69664,35,-135,76
69685,32,-133,73
69704,34,-132,72
69724,36,-127,68
69744,39,-124,65
69764,37,-120,76
69784,40,-118,73
69804,36,-122,77
69824,33,-121,71
69844,34,-119,70
69864,35,-117,74,222,1084
69884,31,-117,69
69904,33,-116,62
69924,31,-105,59
69944,32,-103,65
69964,25,-107,66
69984,23,-100,75
70004,19,-101,74
70024,17,-106,72
70044,25,-104,72
70064,26,-98,73
70084,24,-99,74
70104,18,-97,76
70124,17,-97,80
70144,17,-96,75
70164,16,-92,78,260,1077
70184,22,-97,84
70204,25,-94,74
70224,28,-95,72
70244,27,-95,76
70264,26,-91,71
70284,25,-86,67
70304,27,-81,66
70324,30,-80,59
70344,25,-80,55
70364,21,-78,65
70384,20,-79,66
70404,20,-75,68
70424,14,-77,74
70444,12,-80,69
70464,22,-81,75,270,1070
70484,21,-73,76
70504,15,-71,77
70524,16,-67,74
70544,20,-68,75
70564,18,-65,68
70584,15,-63,62
70604,16,-66,72
70624,19,-66,73
70644,20,-68,70
70664,15,-63,71
70684,18,-61,64
70704,23,-60,66
70724,18,-52,73
70744,20,-52,69
70764,20,-54,64,1077,62
70784,20,-54,73
70804,13,-60,70
70824,12,-56,77
70844,8,-54,76
70864,12,-52,74
70884,12,-53,71
70904,17,-53,73
70924,16,-56,67
70944,13,-50,67
70964,19,-46,66
70984,13,-46,63
---------------
System Time (ms),axWorld (int16),ayWorld (int16),azWorld (int16),axyStdDevL,axyStdDevR
78142,-40,-20,57
78161,-2,36,152
78181,37,48,201
78201,38,57,212
78221,6,85,201
78241,-17,81,144
78261,-9,48,87,199,89
78281,-23,49,44
78301,-76,63,67
78321,-117,78,132
78341,-124,56,150
78361,-124,47,79
78381,-140,25,4
78401,-96,3,-31
78421,-41,-17,-38
78441,29,-21,-16
78461,111,-67,-2
78481,142,-56,-49
78501,55,26,-98
78521,-55,71,-88
78541,-101,30,-63
78561,-89,-8,-32,192,94
78581,-90,-3,30
78601,-79,-4,102
78621,-26,-5,97
78641,28,-30,37
78661,60,-69,-7
78681,74,-113,-52
78701,93,-141,-140
78721,113,-169,-266
78741,80,-140,-367
78761,23,-105,-362
78781,14,-64,-289
78801,-3,-85,-251
78821,7,-110,-233
78841,5,-91,-179
78861,-39,-52,-126,150,101
78881,-76,22,-101
78901,-93,91,-77
78921,-96,128,-32
78941,-86,151,-14
78961,-69,205,-15
78981,-90,204,0
79001,-114,162,21
79021,-117,133,65
79041,-66,111,157
79061,-1,86,220
79081,27,71,208
79101,30,72,181
79121,36,38,177
79141,64,-18,197
79161,113,-28,222,132,102
79181,148,-19,317
